app_user_id,app_user_name,app_account_id,seat_tiers_array,signup_date,is_account_owner,is_internal_user
app_user_0000001,User A,app_acct_000001,"[""Tier 1""]",2025-12-11,True,False
app_user_0000002,User B,app_acct_000001,"[""Tier 1"", ""Internal""]",2026-02-26,False,False
app_user_0000003,User C,app_acct_000001,"[""Tier 1""]",2026-02-16,False,False
app_user_0000004,User D,app_acct_000002,"[""Tier 1""]",2026-04-30,True,False
app_user_0000005,User E,app_acct_000003,"[""Tier 1""]",2026-04-07,True,False
app_user_0000006,User F,app_acct_000003,"[""Tier 2""]",2025-12-26,False,False
app_user_0000007,User G,app_acct_000004,"[""Tier 2""]",2026-02-27,True,False
app_user_0000008,User H,app_acct_000004,"[""Tier 1""]",2026-02-25,False,False
app_user_0000009,User I,app_acct_000005,"[""Tier 3""]",2026-04-30,True,False
app_user_0000010,User J,app_acct_000006,"[""Tier 1""]",2026-04-30,True,False
app_user_0000011,User K,app_acct_000007,"[""Tier 1""]",2025-11-01,True,False
app_user_0000012,User L,app_acct_000008,"[""Tier 1""]",2026-03-02,True,False
app_user_0000013,User M,app_acct_000009,"[""Tier 1""]",2026-04-30,True,False
app_user_0000014,User N,app_acct_000010,"[""Tier 2""]",2025-07-10,True,False
app_user_0000015,User O,app_acct_000011,"[""Tier 1""]",2026-03-05,True,False
app_user_0000016,User P,app_acct_000012,"[""Tier 3""]",2024-12-23,True,False
app_user_0000017,User Q,app_acct_000012,"[""Tier 2""]",2025-04-08,False,False
app_user_0000018,User R,app_acct_000013,"[""Tier 1"", ""Other""]",2025-01-28,True,False
app_user_0000019,User S,app_acct_000014,"[""Tier 2""]",2025-09-10,True,False
app_user_0000020,User T,app_acct_000014,"[""Tier 2""]",2025-11-14,False,False
app_user_0000021,User U,app_acct_000014,"[""Tier 3""]",2026-04-30,False,False
app_user_0000022,User V,app_acct_000014,"[""Other""]",2026-02-15,False,False
app_user_0000023,User W,app_acct_000014,"[""Tier 1""]",2026-02-10,False,False
app_user_0000024,User X,app_acct_000014,"[""Tier 3"", ""Tier 2""]",2026-04-13,False,False
app_user_0000025,User Y,app_acct_000015,"[""Tier 1""]",2026-01-24,True,False
app_user_0000026,User Z,app_acct_000015,"[""Tier 3""]",2025-11-22,False,False
app_user_0000027,User AA,app_acct_000016,"[""Tier 2""]",2026-04-19,True,False
app_user_0000028,User AB,app_acct_000017,"[""Tier 1""]",2025-07-09,True,False
app_user_0000029,User AC,app_acct_000018,"[""Tier 1""]",2025-11-07,True,False
app_user_0000030,User AD,app_acct_000019,"[""Tier 1""]",2025-07-14,True,False
app_user_0000031,User AE,app_acct_000020,"[""Tier 1""]",2025-03-21,True,False
app_user_0000032,User AF,app_acct_000020,"[""Tier 1""]",2025-08-27,False,False
app_user_0000033,User AG,app_acct_000021,"[""Tier 2""]",2025-06-22,True,False
app_user_0000034,User AH,app_acct_000021,"[""Tier 1"", ""Internal""]",2025-06-21,False,False
app_user_0000035,User AI,app_acct_000021,"[""Tier 3""]",2025-04-09,False,False
app_user_0000036,User AJ,app_acct_000022,"[""Tier 1""]",2026-04-30,True,False
app_user_0000037,User AK,app_acct_000022,"[""Tier 1""]",2026-04-30,False,False
app_user_0000038,User AL,app_acct_000023,"[""Tier 1""]",2025-12-05,True,False
app_user_0000039,User AM,app_acct_000023,"[""Tier 4""]",2026-04-28,False,False
app_user_0000040,User AN,app_acct_000024,"[""Tier 1""]",2025-07-08,True,False
app_user_0000041,User AO,app_acct_000025,"[""Tier 2""]",2026-04-30,True,False
app_user_0000042,User AP,app_acct_000025,"[""Tier 1""]",2026-03-03,False,False
app_user_0000043,User AQ,app_acct_000025,"[""Tier 4""]",2026-03-25,False,False
app_user_0000044,User AR,app_acct_000025,"[""Tier 2""]",2026-04-20,False,False
app_user_0000045,User AS,app_acct_000025,"[""Tier 2""]",2026-02-12,False,False
app_user_0000046,User AT,app_acct_000026,"[""Tier 2"", ""Internal""]",2026-03-06,True,True
app_user_0000047,User AU,app_acct_000026,"[""Tier 1"", ""Internal""]",2026-02-19,False,True
app_user_0000048,User AV,app_acct_000027,"[""Tier 3""]",2025-01-27,True,False
app_user_0000049,User AW,app_acct_000027,"[""Tier 3""]",2024-07-12,False,False
app_user_0000050,User AX,app_acct_000027,"[""Tier 3""]",2024-11-20,False,False
app_user_0000051,User AY,app_acct_000027,"[""Tier 1""]",2025-02-17,False,False
app_user_0000052,User AZ,app_acct_000027,"[""Tier 2""]",2025-01-01,False,False
app_user_0000053,User BA,app_acct_000027,"[""Tier 1""]",2024-08-15,False,False
app_user_0000054,User BB,app_acct_000027,"[""Tier 2""]",2024-07-12,False,False
app_user_0000055,User BC,app_acct_000028,"[""Tier 2""]",2026-01-18,True,False
app_user_0000056,User BD,app_acct_000029,"[""Tier 1""]",2025-07-29,True,False
app_user_0000057,User BE,app_acct_000029,"[""Tier 1""]",2025-04-17,False,False
app_user_0000058,User BF,app_acct_000030,"[""Tier 1""]",2026-02-24,True,False
