snapshot_month,billing_account_id,billing_account_name,customer_segment,lifecycle_segment,is_expansion_ready,recommended_action,reason_code
2024-01-01,bill_003247,Billing Account DTW,Small,new,0,monitor_activation,new_account
2024-01-01,bill_010229,Billing Account OCK,Small,new,0,monitor_activation,new_account
2024-01-01,bill_014620,Billing Account UPH,Small,new,0,monitor_activation,new_account
2024-01-01,bill_016039,Billing Account WRW,Small,new,0,monitor_activation,new_account
2024-02-01,bill_003247,Billing Account DTW,Small,new,0,monitor_activation,new_account
2024-02-01,bill_003317,Billing Account DWO,Small,new,0,monitor_activation,new_account
2024-02-01,bill_005967,Billing Account HUM,Small,new,0,monitor_activation,new_account
2024-02-01,bill_006931,Billing Account JFO,Medium,new,0,monitor_activation,new_account
2024-02-01,bill_009135,Billing Account MMI,Small,new,0,monitor_activation,new_account
2024-02-01,bill_010229,Billing Account OCK,Small,new,0,monitor_activation,new_account
2024-02-01,bill_013603,Billing Account TCE,Medium,new,0,monitor_activation,new_account
2024-02-01,bill_014620,Billing Account UPH,Small,new,0,monitor_activation,new_account
2024-02-01,bill_016039,Billing Account WRW,Small,new,0,monitor_activation,new_account
2024-02-01,bill_016950,Billing Account YAX,Medium,new,0,monitor_activation,new_account
2024-02-01,bill_017062,Billing Account YFF,Small,new,0,monitor_activation,new_account
2024-02-01,bill_019068,Billing Account ABEJ,Small,new,0,monitor_activation,new_account
2024-02-01,bill_019095,Billing Account ABFK,Small,new,0,monitor_activation,new_account
2024-02-01,bill_020371,Billing Account ADCM,Medium,new,0,monitor_activation,new_account
2024-02-01,bill_020621,Billing Account ADMC,Small,new,0,monitor_activation,new_account
2024-02-01,bill_020852,Billing Account ADUZ,Small,new,0,monitor_activation,new_account
2024-03-01,bill_001442,Billing Account BCL,Small,new,0,monitor_activation,new_account
2024-03-01,bill_003247,Billing Account DTW,Small,at_risk,0,cs_outreach_no_usage,zero_active_users
2024-03-01,bill_003317,Billing Account DWO,Small,new,0,monitor_activation,new_account
2024-03-01,bill_003712,Billing Account ELT,Small,new,0,monitor_activation,new_account
2024-03-01,bill_003712,Billing Account ELT,Small,new,0,monitor_activation,new_account
2024-03-01,bill_004497,Billing Account FPY,Small,new,0,monitor_activation,new_account
2024-03-01,bill_004822,Billing Account GCL,Small,new,0,monitor_activation,new_account
2024-03-01,bill_005152,Billing Account GPD,Large,new,0,monitor_activation,new_account
